p_laptopcatentryId_50
1084655,1581653,1150151,3074457345619437318,1485651,3074457345619300818,1406152,981657,1613651,907669,907675,1203151,983653,1208655,734653,839153,640652,3074457345619288822,1173656,960657,889651,3074457345619623821,907686,663658,1173652,1208658,3074457345619337819,3074457345619230818,3074457345619427320,1173663,998660,3074457345619562321,907671,1158162,882153,1760655,3074457345619656321,1173665,983654,1581151,907657,1522154,3074457345619288819,839173,1208653,1052157,1029652,1350155,1158155,1147152
3074457345619562325,3074457345619437324,1173657,3074457345618816819,913664,1158158,1226652,1367152,1322151,1079154,3074457345619437319,810154,1165158,1788151,1581652,1175653,907673,907691,1052156,1052158,913665,1217651,3074457345619591819,3074457345619013336,1327157,981655,1158154,3074457345619288827,810160,1052152,1173685,810157,981654,3074457345619203824,1434152,555651,1760657,983652,3074457345618849821,998665,1302151,3074457345619656324,663652,1426151,1265651,1052154,1158161,810153,839177,3074457345619562320
3074457345618757318,3074457345619656327,1330651,3074457345619270328,1348151,1485652,907664,1208651,910651,913666,3074457345618920319,1084652,1165154,704653,1350152,1205651,907656,1173658,1158152,1158164,907680,907701,1075672,903701,1086682,789162,1021660,1470677,3074457345619571331,3074457345619516340,1638665,1012663,3074457345619246821,1747660,1612671,1005659,775667,3074457345619303845,1053665,1616694,3074457345619676333,3074457345619350321,3074457345618898821,925695,1141161,1166153,903760,3074457345619108320,1458168,1287653
1226653,1150159,3074457345619392818,1661652,907666,1150153,839157,790651,1450658,3074457345619366822,907670,3074457345619270318,3074457345619587321,1450656,640654,1055654,907663,1305658,3074457345619343818,909651,1052153,1305655,998663,1327153,1052163,3074457345619288319,1052160,910652,3074457345619562324,988166,981653,1327151,3074457345619427318,913667,3074457345619623824,810152,1584151,3074457345619541822,960654,663654,1327158,3074457345619527318,839176,907700,981651,3074457345619656318,1367151,1309653,659151,3074457345619541818
3074457345619061338,3074457345619498824,3074457345618641825,1218182,1678653,3074457345619350320,1012661,958658,836222,828156,1458166,1753656,871438,1023174,836239,1087158,3074457345619623323,1616706,903527,1023172,3074457345619457324,3074457345618507828,903511,3074457345619449329,626158,1616697,1297660,1669167,1137179,1458165,1729161,1669170,1520157,3074457345618856333,1075674,871452,1669165,1752166,1036154,3074457345619581819,3074457345619343323,3074457345619303850,1086679,925699,1087160,1594662,1616681,3074457345619259320,903645,837154
3074457345619668321,1616703,925704,3074457345619285327,638654,3074457345619057821,1220656,1063154,945165,3074457345619616322,903517,903782,871409,1120656,903681,3074457345618810825,1141159,1216174,1075684,903557,1220654,871325,871337,996160,871410,1045199,903510,3074457345619246822,1616705,1454658,1176163,1216182,3074457345619132825,3074457345618575841,3074457345619432829,903607,3074457345619577821,3074457345618709331,903507,903548,3074457345619516342,1616687,871354,627155,3074457345619337330,3074457345619560346,3074457345619432826,1182156,903719,903648
685659,1224162,3074457345618884319,3074457345619369823,1153154,1454656,3074457345618856335,1216177,3074457345618579819,1405153,1086697,3074457345618575845,1218191,1209169,1068677,1075676,3074457345619323326,903738,716156,3074457345618741328,1099166,1345688,1472652,1470671,789159,1086683,3074457345619676338,871416,1166154,3074457345618604825,903730,1669162,1616688,1075677,3074457345619626330,945166,3074457345618498335,626161,3074457345618881822,1161656,871328,702652,3074457345619560351,903582,1045183,3074457345618648820,1218186,3074457345619595821,1028152,903793
1023164,3074457345619374323,903586,3074457345619516350,1470667,3074457345618498330,1616680,1612672,1470672,3074457345618882821,3074457345618862326,871333,1619653,1458164,903667,1729158,3074457345619303848,3074457345618717319,903683,1729162,1275656,945162,1020158,685658,1037159,1218179,3074457345619669327,1088655,3074457345619676337,1218189,1616701,1209166,903795,3074457345618899823,3074457345618478320,903508,903568,1045177,3074457345619337332,3074457345619475822,1126669,903566,1086685,3074457345619284331,1616685,1073655,828154,1747656,3074457345618641822,3074457345619588821
3074457345618868318,891655,3074457345619318318,3074457345619534818,3074457345619699818,3074457345619384322,1158160,1173664,3074457345619623818,1173680,3074457345619272324,3074457345619472818,960653,839161,640656,810162,1575156,907674,3074457345619013320,1426153,3074457345619337818,3074457345619562319,1487153,3074457345619114818,1350151,1158163,881651,1641151,1173683,1173682,998652,3074457345619366819,3074457345619343821,833151,1327156,907683,1138652,1305652,1426152,1487156,1327152,3074457345619288318,589651,3074457345619366821,663651,1450655,663653,1408151,3074457345618513319,231653
3074457345619414822,3074457345619248324,1158165,907688,3074457345619541820,3074457345619143822,814151,1507651,3074457345619656319,960656,839151,3074457345619275819,892152,1485653,3074457345619656323,1515651,960660,1173653,1327155,3074457345619521822,1150160,960661,1760654,1052161,1150156,1055655,3074457345619270324,337151,3074457345619527319,998662,3074457345619272328,1173684,1084654,3074457345619656326,1173662,892153,3074457345619350818,960659,1521651,891658,3074457345619656329,1078651,3074457345619392819,734652,3074457345619114823,3074457345619437320,672652,3074457345619472819,1455156,998653
